key,content

Jörn Fischer j.fischer@hs-mannheim.de,Jörn Fischer\n\nj.fischer@hs-mannheim.de\n\nWillkommen zur Vorlesung\n\nProgrammieren 1\n\n

Überblick Inhalt (roter Faden),"Überblick\n\nInhalt (roter Faden)\n\n1 - Organisatorisches\n\n2 - Einführung\n\n3 - Programmentwurf\n\n4 - Erste Schritte\n\n  9 - Arrays, Enumerationen\n\n10 - Methoden/ Funktionen\n\n11 - Rekursion\n\n12 - Klassen, Objekte\n\n5 - Die Programmiersprache Java\n\n13 - Vererbung\n\n6 - Variablen und Datentypen\n\n7 - Arithmetische Ausdrücke\n\n8 - Anweisungen (Schleifen, \n\nbedingte Verzweigungen)\n\n14 - Referenzen\n\n15 - Interfaces\n\n16 - Exceptions \n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nPage 3\n\n"

1 - Organisatorisches Kapitel 1 - Organisatorisches,1 - Organisatorisches\n\nKapitel 1 - Organisatorisches\n\n Übungen\n\n Prüfungsvoraussetzung\n\n Fragen an mich\n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\n

1 - Organisatorisches Übungen,"1 - Organisatorisches\n\nÜbungen\n\nÜbungsstunden finden in 2'er oder 3'er Gruppen statt\n\nIn den Übungen besteht Anwesenheitspflicht!\n\n Wenn ihr krank seid, reicht bitte eine Krankmeldung vom Arzt ein.\n\n\n\n2 mal unentschuldigt fehlen führt zum Ausschluss von der Klausur\n\n Wer sich letztes Semester schon für die Klausur qualifiziert hat, wende sich \n\nbitte per Mail an mich!\n\nEs gibt alle zwei Wochen neue Übungsblätter\n\nZusätzlich werde ich mehrere Life-Testate einführen\n\n\n\n\n\n\n\n\n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nSeite 6\n\n"

1 - Organisatorisches Prüfungsvoraussetzung,1 - Organisatorisches\n\nPrüfungsvoraussetzung\n\nAnwesenheit in den Übungsstunden\n\n\n\n\n\n(davon 20 Pkte Life-Testat)\n\nMindestens n x 100 von n x 120 Punkten bei n Pflichtübungen \n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nSeite 7\n\n

1 - Organisatorisches Fragen an mich...,1 - Organisatorisches\n\nFragen an mich...\n\n\n\n\n\n\n\nFragen können gerne auch per Email an mich gerichtet werden oder aber \n\nbei Diskussionsbedarf einfach per Mail einen Termin vereinbaren...\n\nRückkopplung ist ausdrücklich erwünscht !!!!!\n\nZwischen den Vorlesungen bin ich oft kurz angebunden; darum besser in \n\nden Übungsstunden fragen.\n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nPage 8\n\n

2 - Einführung Kapitel 2 - Einführung,2 - Einführung\n\nKapitel 2 - Einführung\n\n Welches Buch kann ich lesen?\n\n\n\nDie Programmiersprache Java.\n\n Wie funktioniert ein Computer?\n\n Welche Zahlensysteme werden benutzt?\n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nSeite 11\n\n

2 - Einführung Welches Buch kann ich lesen,"2 - Einführung\n\nWelches Buch kann ich lesen\n\nEs gibt unglaublich viele Bücher über Java (auch online)\n\n\n\n\n\nSinnvoll für dieses Semester ist es, wenn Sie sich erst einmal ein Buch aus der \n\nBibliothek über Java-Programmierung ausleihen.\n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nSeite 12\n\n 2 - Einführung\n\nWelches Buch kann ich lesen\n\nEinführung in die Informatrik, Heinz-Peter Gumm, Manfred Sommer\n\nJava ist auch eine Insel, Galileo Computing, 1480 Seiten\n\nGrundkurs Programmieren in JAVA,  Carl Hanser Verlag GmbH, 711 Seiten\n\nJava von Kopf bis Fuß, O' Reilly, 720 Seiten\n\nMein Favorit: JAVA Eine Einführung, Martin Schrader, Lars Schmidt-Thiemen, \n\nSpringer, 635 Seiten (leider nicht mehr aufgelegt, also nur in der Bibliothek)\n\nTaschenbuch Programmiersprachen, Hanser, 631 Seiten, 31 Seiten JAVA (Nur \n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nals Überblick)\n\nusw....\n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nSeite 13\n\n"

2 - Einführung Die Programmiersprache Java,"2 - Einführung\n\nDie Programmiersprache Java\n\n\n\n\n\n\n\n\n\n\n\nEntwicklung in Assembler ist sehr aufwendig (schlecht portier- und wartbar) \n\nProgrammiersprache B, angelehnt an BCPL (Basic Combined \n\nProgramming Language)\n\nEntwicklung von C, im Gegensatz zu B typisiert\n\nJava hat viele Teile der Syntax von C/ C++ übernommen, hat aber Altlasten \n\nwie die Aufteilung in Header und Source Files über Bord geworfen\n\nJava ist durch VM (Virtuelle Maschine) unabhängig von Hardware und \n\nBetriebssystem\n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nSeite 15\n\n"

2 - Einführung Die Programmiersprache Java - warum?,"2 - Einführung\n\nDie Programmiersprache Java - warum?\n\nauf vielen Plattformen lauffähig\n\ngroße Bibliothek und auf vielen Plattformen verwendbar\n\nEin-/ Ausgabe, Dateioperationen\n\neinfach\n\nschnell\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nGUI\n\nZeichenkettenverarbeitung\n\n Mathematik\n\n\n\nusw...\n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nSeite 16\n\n"

2 - Einführung Die Programmiersprache Java (aber...),2 - Einführung\n\nDie Programmiersprache Java (aber...)\n\n\n\n\n\n\n\n\n\n\n\nJava for Android hat komplett andere GUI Implementierung\n\nJava ist nicht ohne Jailbreak auf iPhone und iPad zu installieren\n\nJava kann nicht ohne große langsame Umwege auf spezielle Hardware \n\nzugreifen \n\nEs gibt nicht das Graphical User Interface (GUI) … z.B. Swing vs. AWT …\n\nCompilierte Java Klassen lassen sich relativ leicht wieder in Quellcode \n\numwandeln (schränkt die Verwendung für kommerzielle Produkte ein)\n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nSeite 17\n\n

2 - Einführung Was passiert mit einem selbst geschriebenen Programm?,"2 - Einführung\n\nWas passiert mit einem selbst geschriebenen Programm?\n\nJava Quellcode\n\nJava-Compiler\n\nJava Bytecode\n\nVirtuelle Maschine\n\nProzessor\n\n\n\n\n\nJava-Programme liegen als Quellcode vor\n\nEin Programm kann aus mehreren \n\nDateien bestehen, in denen i.Allg. jeweils \n\neine Klassen implementiert ist.\n\n\n\nEine dieser Klassen implementiert die \n\nMethode public static void main(String [] \n\narg) , die beim Starten automatisch \n\nausgeführt wird.\n\n Wir werden zunächst nur mit \n\nProgrammen arbeiten, die aus einer \n\neinzelnen Datei bestehen.\n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nPage 18\n\n"

2 - Einführung Wie funktioniert ein Computer,"2 - Einführung\n\nWie funktioniert ein Computer\n\nEin Computer folgt dem EVA Prinzip: Eingabe, Verarbeitung, Ausgabe\n\n\n\n\n\nIm Computer gibt es u.a. \n\nCPU (Central Processing Unit), die Recheneinheit\n\nRAM (Random Access Memory)\n\nROM (Read only Memory) bzw. Flash-Memory für das BIOS (Basic Input \n\nOutput System)\n\nFestplattenspeicher oder SSD (Solid State Disk)\n\n– Grafikkarte\n\nInterfaces (Schnittstellen)\n\n–\n\n–\n\n–\n\n–\n\n–\n\n–\n\nBus Systeme (z.B. USB = Universal Serial Bus, PCI-Express) meistens \n\nbestehend aus Daten- und Adressbus\n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nPage 19\n\n 2 - Einführung\n\nWie funktioniert ein Computer\n\n\n\nEs gibt unzählige Computerarchitekturen. Wichtig für die Programmierung ist \n\nbeispielsweise die Unterteilung in   \n\nVon Neumann Architektur                         Harvard Architektur\n\n             Moderner PC                           manche Digitalen Signal Prozessoren   \n\nJörn Fischer  -  j.fischer@hs-mannheim.de - Raum A112\n\nPage 21\n\n"

